game_id;result;moves;board
35;black_win;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,2-6,32-28,17-22,15-10,6x15,19x10,11-16,24-19,16-20,30-25,7-11,19-15,11-16,21-17,16-19,23x16,12x19,10-7,3x10,15x6,1x10,14x7,19-23,27-24,20x27,31x24,8-12,24-20,23-26,17-14,26-30,25-21,22-26,14-10,26-31,7-3,30-26,10-6,31-27,6-2,18-22,2-7,27-23,28-24,23-18,7-2,26-31,3-8,22-26,8-11,26-30,24-19,31-26,11-7,5-9,2-6,9-14,6-2,18-22,7-11,26-31,19-15,30-26,15-10,26-23,10-6,23-19,6-1,22-18,11-7,18-23,20-16,14-18,16-11,12-16,11-8,18-22,8-3,22-26,7-11,16-20,3-7,26-30,7-10,31-26,11-7,20-24,1-5,24-27,5-1,27-31,2-6,23-18,6-9,26-23,1-5,31-26,5-1,19-15,10x19,23x16,7-10,16-19,1-5,26-23,10-14,30-26,5-1,19-15,1-6,18-22,14-17,23-19,9-14,26-23,17x26,23x30,14-9,15-18,6-10,30-26,10-7,19-15,9-5,18-14,5-1,13-17,7-2,17-22,2-6,26-23,6-2,22-26,1-6,15-18,6-1,18-22,1-6,26-31,2-7,23-18,6-2,31-27,7-3,27-23,3-8,23-19,2-7,22-25;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
36;black_win;11-15,23-19,9-14,22-17,5-9,17-13,14-18,26-23,9-14,24-20,15x24,28x19,8-11,31-26,4-8,25-22,18x25,29x22,11-15,19-16,12x19,23x16,15-18,22x15,10x19,32-28,1-5,16-12,8-11,27-24,19-23,26x19,11-16,20x11,7x16x23,24-20,23-27,20-16,27-31,16-11,31-27,11-8,27-23,8-4,23-19,4-8,19-16,30-25,14-18,28-24,16-20,24-19,20-16,19-15,16-11;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
37;black_win;11-15,23-19,9-14,22-17,6-9,17-13,2-6,25-22,8-11,29-25,4-8,24-20,15x24,28x19,11-15,27-24,14-17,21x14,9x18,26-23,18x27,32x23,10-14,19x10,6x15,13-9,7-11,23-19,15-18,22x15,11x18,31-26,18-23,19-15,23-27,24-19,27-31,26-22,14-17,22x13,5x14,20-16,31-27,16-11,27-23,11x4,23x16,13-9,16-19,15-10,19-15,9-6,15-11,6-2,12-16,10-7,3x10,2-6,11-15,4-8,15-11,8x15,10x19,6-10,14-17,10-14,17-21,25-22,19-23,22-18,23-27,18-15,27-31,15-11,16-19,11-7,19-24,7-2,24-28,2-7,28-32,14-18,32-27,18-22,1-6,7-11,6-10,11-16,10-15;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
38;draw;11-15,23-19,9-14,27-23,8-11,22-18,15x22,25x18x9,5x14,29-25,6-9,25-22,9-13,22-18,14-17,21x14,10x17,26-22,17x26,31x22,7-10,24-20,4-8,32-27,2-6,28-24,3-7,30-25,1-5,18-15,11x18,22x15,13-17,20-16,5-9,25-21,9-14,16-11,7x16,24-20,17-22,20x11x4,12-16,19x12,10x19x26,12-8,6-9,8-3,26-31,27-23,31-27,23-19,9-13,4-8,14-18,21-17,22-25,17-14,13-17,19-15;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
39;draw;11-15,23-19,9-14,22-17,6-9,17-13,2-6,25-22,8-11,29-25,4-8,24-20,15x24,28x19,11-15,27-24,14-17,21x14,9x18,26-23,18x27,32x23,10-14,19x10,6x15,13-9,14-17,22x13,5x14,13-9,8-11,25-22,12-16,22-17,14x21,31-26,7-10,9-5,3-7,23-19,16x23,26x19,15-18,19-16,18-23,16-12,10-15,12-8,15-19,24x15,11x18,8-3,7-10,3-7,10-14,7-10,14-17,10-15,17-22,15-19,22-26,19-15,18-22,15-18,23-27,18x25,27-31,30x23,21x30,23-19,30-26,19-16,26-23,16-12,23-19,12-8,19-15,20-16,31-27,16-12,15-11,8-4,27-23,12-8,23-19,8-3;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
40;white_win;11-15,22-18,15x22,25x18,8-11,29-25,4-8,24-20,10-15,25-22,12-16,21-17,8-12,17-13,7-10,27-24,9-14,18x9,5x14,32-27,14-17,23-18,17-21,27-23,6-9,13x6,2x9,24-19,15x24,28x19,1-5,22-17,9-13,18-14,13x22,26x17,11-15,14x7,15x24,20x11,3x10,11-7,10-15,7-2,15-19,23x16,12x19,2-7,19-23,7-11,23-27,11-15,27-32,15-19,24-28,17-14;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
41;draw;11-15,23-19,9-13,22-18,15x22,25x18,10-14,18x9,5x14,27-23,8-11,26-22,6-10,22-18,1-5,18x9,5x14,29-25,11-15,25-22,14-17,21x14,10x17x26,19x10,7x14,31x22,14-17,22-18,17-22,18-14,13-17,14-9,17-21,9-5,22-25,5-1,25-29,1-5,29-25,5-9,25-22,23-19,22-18,32-27,3-7,24-20,7-10,27-24,10-14,9-13,18-22,13-9,14-18,9-13,18-23;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
42;draw;11-15,22-18,15x22,25x18,8-11,29-25,11-16,18-14,9x18,23x14,10x17,21x14,4-8,24-20,16-19,25-22,6-10,27-24,10x17,22x13,7-11,24x15,11x18,28-24,2-6,24-19,5-9,19-15,9-14,32-28,14-17,26-22,17x26,30x23x14,6-10,15x6,1x10x17;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
43;draw;11-15,23-19,9-14,22-17,6-9,17-13,2-6,25-22,8-11,29-25,4-8,24-20,15x24,28x19,11-15,27-24,14-17,21x14,9x18,26-23,18x27,32x23,10-14,19x10,6x15,13-9,14-17,22x13,5x14,25-22,1-6,23-19,7-10,30-25,14-17,25-21,17x26,31x22,8-11,21-17,3-8,17-14,10x17x26,19x10x1,12-16,1-6,16-19;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
44;draw;11-15,22-18,15x22,25x18,12-16,29-25,16-20,24-19,8-11,18-14,10x17,21x14,9x18,23x14,6-10,25-22,10x17,22x13,4-8,27-23,7-10,23-18,10-14,18x9,5x14,19-16,2-7,13-9,11-15,32-27,15-18,30-25,8-11,25-21,11-15,9-5,15-19,16-12,19-23,26x19,18-22,19-16,22-25,28-24,25-30,24-19,30-25,19-15,25-22,15-11,7-10,11-7,14-17,21x14,10x17,7-2,22-18,16-11,18-15,2-7,3x10,11-8,15-18,27-24;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
